base_model,exp,seed,wandb_url,hf_repo_url,hf_repo_id,revision
EleutherAI/pythia-2.8b-deduped,sft,44413,https://wandb.ai/costa-huang/tldr_summarize/runs/4ocqe2yu,https://huggingface.co/vwxyzjn/EleutherAI_pythia-2.8b-deduped__sft__tldr/tree/sft__44413__1708611267,vwxyzjn/EleutherAI_pythia-2.8b-deduped__sft__tldr,sft__44413__1708611267
EleutherAI/pythia-2.8b-deduped,sft,55513,https://wandb.ai/costa-huang/tldr_summarize/runs/blt9zq7r,https://huggingface.co/vwxyzjn/EleutherAI_pythia-2.8b-deduped__sft__tldr/tree/sft__55513__1708611267,vwxyzjn/EleutherAI_pythia-2.8b-deduped__sft__tldr,sft__55513__1708611267
EleutherAI/pythia-1b-deduped,sft,66613,https://wandb.ai/costa-huang/tldr_summarize/runs/t1fbmibv,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__sft__tldr/tree/sft__66613__1708611267,vwxyzjn/EleutherAI_pythia-1b-deduped__sft__tldr,sft__66613__1708611267
EleutherAI/pythia-6.9b-deduped,sft,44413,https://wandb.ai/costa-huang/tldr_summarize/runs/vylgk7cg,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__sft__tldr/tree/sft__44413__1708611267,vwxyzjn/EleutherAI_pythia-6.9b-deduped__sft__tldr,sft__44413__1708611267
EleutherAI/pythia-1b-deduped,sft,55513,https://wandb.ai/costa-huang/tldr_summarize/runs/1gmprrb1,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__sft__tldr/tree/sft__55513__1708611267,vwxyzjn/EleutherAI_pythia-1b-deduped__sft__tldr,sft__55513__1708611267
EleutherAI/pythia-6.9b-deduped,sft,77713,https://wandb.ai/costa-huang/tldr_summarize/runs/1jjm2vga,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__sft__tldr/tree/sft__77713__1708611267,vwxyzjn/EleutherAI_pythia-6.9b-deduped__sft__tldr,sft__77713__1708611267
EleutherAI/pythia-1b-deduped,sft,77713,https://wandb.ai/costa-huang/tldr_summarize/runs/7mpo5c4s,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__sft__tldr/tree/sft__77713__1708611267,vwxyzjn/EleutherAI_pythia-1b-deduped__sft__tldr,sft__77713__1708611267
EleutherAI/pythia-2.8b-deduped,sft,66613,https://wandb.ai/costa-huang/tldr_summarize/runs/m78f3l3l,https://huggingface.co/vwxyzjn/EleutherAI_pythia-2.8b-deduped__sft__tldr/tree/sft__66613__1708611267,vwxyzjn/EleutherAI_pythia-2.8b-deduped__sft__tldr,sft__66613__1708611267
EleutherAI/pythia-6.9b-deduped,sft,55513,https://wandb.ai/costa-huang/tldr_summarize/runs/o6u0ha8h,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__sft__tldr/tree/sft__55513__1708611267,vwxyzjn/EleutherAI_pythia-6.9b-deduped__sft__tldr,sft__55513__1708611267
EleutherAI/pythia-2.8b-deduped,sft,77713,https://wandb.ai/costa-huang/tldr_summarize/runs/dvemfw7l,https://huggingface.co/vwxyzjn/EleutherAI_pythia-2.8b-deduped__sft__tldr/tree/sft__77713__1708611267,vwxyzjn/EleutherAI_pythia-2.8b-deduped__sft__tldr,sft__77713__1708611267
EleutherAI/pythia-6.9b-deduped,sft,66613,https://wandb.ai/costa-huang/tldr_summarize/runs/ijy11svk,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__sft__tldr/tree/sft__66613__1708611267,vwxyzjn/EleutherAI_pythia-6.9b-deduped__sft__tldr,sft__66613__1708611267
EleutherAI/pythia-1b-deduped,sft,44413,https://wandb.ai/costa-huang/tldr_summarize/runs/e9ai2b3y,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__sft__tldr/tree/sft__44413__1708611267,vwxyzjn/EleutherAI_pythia-1b-deduped__sft__tldr,sft__44413__1708611267
EleutherAI/pythia-1b-deduped,reward,77713,https://wandb.ai/costa-huang/tldr_summarize/runs/7q593nvh,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__reward__tldr/tree/reward__77713__1708628553,vwxyzjn/EleutherAI_pythia-1b-deduped__reward__tldr,reward__77713__1708628553
EleutherAI/pythia-2.8b-deduped,reward,44413,https://wandb.ai/costa-huang/tldr_summarize/runs/5316gkrt,https://huggingface.co/vwxyzjn/EleutherAI_pythia-2.8b-deduped__reward__tldr/tree/reward__44413__1708628552,vwxyzjn/EleutherAI_pythia-2.8b-deduped__reward__tldr,reward__44413__1708628552
EleutherAI/pythia-6.9b-deduped,reward,77713,https://wandb.ai/costa-huang/tldr_summarize/runs/d36backr,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__reward__tldr/tree/reward__77713__1708628551,vwxyzjn/EleutherAI_pythia-6.9b-deduped__reward__tldr,reward__77713__1708628551
EleutherAI/pythia-6.9b-deduped,reward,55513,https://wandb.ai/costa-huang/tldr_summarize/runs/gto3imru,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__reward__tldr/tree/reward__55513__1708628552,vwxyzjn/EleutherAI_pythia-6.9b-deduped__reward__tldr,reward__55513__1708628552
EleutherAI/pythia-6.9b-deduped,reward,66613,https://wandb.ai/costa-huang/tldr_summarize/runs/isj98l75,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__reward__tldr/tree/reward__66613__1708628552,vwxyzjn/EleutherAI_pythia-6.9b-deduped__reward__tldr,reward__66613__1708628552
EleutherAI/pythia-6.9b-deduped,reward,44413,https://wandb.ai/costa-huang/tldr_summarize/runs/rqymy36n,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__reward__tldr/tree/reward__44413__1708628552,vwxyzjn/EleutherAI_pythia-6.9b-deduped__reward__tldr,reward__44413__1708628552
EleutherAI/pythia-2.8b-deduped,reward,66613,https://wandb.ai/costa-huang/tldr_summarize/runs/8yh2ns3p,https://huggingface.co/vwxyzjn/EleutherAI_pythia-2.8b-deduped__reward__tldr/tree/reward__66613__1708628551,vwxyzjn/EleutherAI_pythia-2.8b-deduped__reward__tldr,reward__66613__1708628551
EleutherAI/pythia-2.8b-deduped,reward,55513,https://wandb.ai/costa-huang/tldr_summarize/runs/glga10zf,https://huggingface.co/vwxyzjn/EleutherAI_pythia-2.8b-deduped__reward__tldr/tree/reward__55513__1708628552,vwxyzjn/EleutherAI_pythia-2.8b-deduped__reward__tldr,reward__55513__1708628552
EleutherAI/pythia-2.8b-deduped,reward,77713,https://wandb.ai/costa-huang/tldr_summarize/runs/m94qlmen,https://huggingface.co/vwxyzjn/EleutherAI_pythia-2.8b-deduped__reward__tldr/tree/reward__77713__1708628552,vwxyzjn/EleutherAI_pythia-2.8b-deduped__reward__tldr,reward__77713__1708628552
EleutherAI/pythia-1b-deduped,reward,66613,https://wandb.ai/costa-huang/tldr_summarize/runs/s5tanswd,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__reward__tldr/tree/reward__66613__1708628551,vwxyzjn/EleutherAI_pythia-1b-deduped__reward__tldr,reward__66613__1708628551
EleutherAI/pythia-1b-deduped,reward,55513,https://wandb.ai/costa-huang/tldr_summarize/runs/bocab5vs,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__reward__tldr/tree/reward__55513__1708628552,vwxyzjn/EleutherAI_pythia-1b-deduped__reward__tldr,reward__55513__1708628552
EleutherAI/pythia-1b-deduped,reward,44413,https://wandb.ai/costa-huang/tldr_summarize/runs/z6v2q8nx,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__reward__tldr/tree/reward__44413__1708628552,vwxyzjn/EleutherAI_pythia-1b-deduped__reward__tldr,reward__44413__1708628552
EleutherAI/pythia-6.9b-deduped,ppo_left_padding_new_nowhiten_reward,77713,https://wandb.ai/costa-huang/tldr_summarize/runs/g6co0hel,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__ppo_left_padding_new_nowhiten_reward__tldr/tree/ppo_left_padding_new_nowhiten_reward__77713__1710465193,vwxyzjn/EleutherAI_pythia-6.9b-deduped__ppo_left_padding_new_nowhiten_reward__tldr,ppo_left_padding_new_nowhiten_reward__77713__1710465193
EleutherAI/pythia-6.9b-deduped,ppo_left_padding_new_nowhiten_reward,66613,https://wandb.ai/costa-huang/tldr_summarize/runs/kvdfazmz,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__ppo_left_padding_new_nowhiten_reward__tldr/tree/ppo_left_padding_new_nowhiten_reward__66613__1710465193,vwxyzjn/EleutherAI_pythia-6.9b-deduped__ppo_left_padding_new_nowhiten_reward__tldr,ppo_left_padding_new_nowhiten_reward__66613__1710465193
EleutherAI/pythia-6.9b-deduped,ppo_left_padding_new_nowhiten_reward,55513,https://wandb.ai/costa-huang/tldr_summarize/runs/vou23bja,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__ppo_left_padding_new_nowhiten_reward__tldr/tree/ppo_left_padding_new_nowhiten_reward__55513__1710465193,vwxyzjn/EleutherAI_pythia-6.9b-deduped__ppo_left_padding_new_nowhiten_reward__tldr,ppo_left_padding_new_nowhiten_reward__55513__1710465193
